No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score,GNINA_norm,PLANTS_norm,Consensus Score
3,Gambiriin_A3,4,-10.87,0.4467,6.578,3,Gambiriin_A3_spores_entry_00001_conf_01,-111.663,0.8830083565459608,0.9004119318561525,0.8917101442010567
1,Asparanin_B,8,-11.71,0.4279,6.173,10,Asparanin_B_spores_entry_00001_conf_01,-93.7583,1.0,0.6611025124902765,0.8305512562451383
21,Hordatine_A,7,-9.2,0.3725,6.079,1,Hordatine_A_spores_entry_00001_conf_01,-119.114,0.65041782729805,1.0,0.825208913649025
2,Albanol_A,8,-11.03,0.415,6.379,7,Albanol_A_spores_entry_00001_conf_01,-97.298,0.9052924791086349,0.7084131935812409,0.8068528363449379
4,Isoorientin_7-glucoside,4,-10.52,0.3305,5.355,13,Isoorientin_7-glucoside_spores_entry_00001_conf_01,-92.8857,0.8342618384401113,0.6494395748628007,0.7418507066514559
14,Epicatechin_gallate,2,-9.64,0.6177,5.442,6,Epicatechin_gallate_spores_entry_00001_conf_01,-98.8714,0.7116991643454039,0.7294428361013763,0.72057100022339
7,Campesteryl_p-coumarate,7,-10.14,0.3661,6.731,11,Campesteryl_p-coumarate_spores_entry_00001_conf_01,-93.6164,0.7813370473537604,0.6592059151382952,0.7202714812460278
12,Catechin,3,-9.81,0.6811,5.115,8,Catechin_spores_entry_00001_conf_01,-95.9081,0.7353760445682451,0.6898361628587697,0.7126061037135074
5,Orcein,1,-10.51,0.6733,6.61,22,Orcein_spores_entry_00001_conf_01,-87.4162,0.8328690807799441,0.5763357044141666,0.7046023925970554
20,Auriculine,9,-9.25,0.3052,5.513,4,Auriculine_spores_entry_00001_conf_01,-99.5105,0.6573816155988857,0.7379848753378188,0.6976832454683523
48,Leukotriene_F4,6,-7.79,0.1911,6.011,2,Leukotriene_F4_spores_entry_00001_conf_01,-114.193,0.4540389972144846,0.9342272334806236,0.6941331153475541
10,Epigallocatechin,1,-9.86,0.759,5.461,15,Epigallocatechin_spores_entry_00001_conf_01,-91.1878,0.7423398328690806,0.6267458987251764,0.6845428657971284
6,Xanthoaphin,9,-10.2,0.469,5.585,27,Xanthoaphin_spores_entry_00001_conf_01,-85.4246,0.7896935933147631,0.5497165128270928,0.6697050530709279
17,Phaeophorbide_a,8,-9.29,0.3501,6.651,9,Phaeophorbide_a_spores_entry_00001_conf_01,-94.2563,0.6629526462395541,0.6677586469602315,0.6653556465998928
29,Dulxanthone_B,4,-8.8,0.5181,6.206,5,Dulxanthone_B_spores_entry_00001_conf_01,-99.2306,0.5947075208913649,0.7342438069881392,0.664475663939752
11,Catechin_gallate,8,-9.82,0.5905,5.92,21,Catechin_gallate_spores_entry_00001_conf_01,-87.693,0.7367688022284122,0.5800353389950573,0.6584020706117348
26,Americanin_B,4,-9.11,0.5661,5.301,12,Americanin_B_spores_entry_00001_conf_01,-93.4696,0.6378830083565458,0.6572438257001638,0.6475634170283548
8,Pedaliin,2,-9.98,0.6831,5.703,34,Pedaliin_spores_entry_00001_conf_01,-83.1217,0.7590529247910863,0.5189365689097039,0.6389947468503951
18,Belladonnine,4,-9.27,0.4559,6.433,18,Belladonnine_spores_entry_00001_conf_01,-90.0085,0.6601671309192199,0.6109836911339753,0.6355754110265976
16,Chrysin,2,-9.3,0.6176,4.912,20,Chrysin_spores_entry_00001_conf_01,-87.8062,0.6643454038997214,0.5815483398424448,0.6229468718710831
27,Sitagliptin,5,-9.02,0.3091,5.566,16,Sitagliptin_spores_entry_00001_conf_01,-90.6919,0.6253481894150417,0.6201178322921428,0.6227330108535922
22,Yohimbine,3,-9.2,0.5511,5.677,25,Yohimbine_spores_entry_00001_conf_01,-86.296,0.65041782729805,0.5613634115763277,0.6058906194371889
15,Kaempferol,8,-9.36,0.5788,5.085,36,Kaempferol_spores_entry_00001_conf_01,-83.0583,0.6727019498607241,0.5180891815093119,0.5953955656850181
33,Phaeophorbide_b,3,-8.73,0.4764,6.933,19,Phaeophorbide_b_spores_entry_00001_conf_01,-89.2697,0.5849582172701949,0.6011090884303552,0.5930336528502751
9,Quercetin,2,-9.95,0.6875,5.443,62,Quercetin_spores_entry_00001_conf_01,-74.7275,0.7548746518105848,0.40674194246854384,0.5808082971395643
37,Crosatoside_B,5,-8.37,0.51,4.136,17,Crosatoside_B_spores_entry_00001_conf_01,-90.3139,0.5348189415041781,0.6150655856462732,0.5749422635752257
32,Allosamidine,3,-8.73,0.5021,4.726,30,Allosamidine_spores_entry_00001_conf_01,-84.3188,0.5849582172701949,0.5349366865281442,0.5599474518991696
50,___-Gallocatechin,2,-7.75,0.687,4.958,14,___-Gallocatechin_spores_entry_00001_conf_01,-92.1936,0.4484679665738161,0.6401891518373871,0.5443285592056016
35,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose,4,-8.54,0.5486,4.195,33,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose_spores_entry_00001_conf_01,-83.2954,0.5584958217270193,0.5212581965350677,0.5398770091310434
25,Saphenamycin,1,-9.12,0.8315,6.135,56,Saphenamycin_spores_entry_00001_conf_01,-75.8632,0.6392757660167129,0.42192140415032714,0.53059858508352
36,Flavidulol_C,5,-8.38,0.2497,5.997,32,Flavidulol_C_spores_entry_00001_conf_01,-83.4411,0.5362116991643454,0.523205583668145,0.5297086414162452
28,Aurasperone_D,7,-8.81,0.1966,6.32,47,Aurasperone_D_spores_entry_00001_conf_01,-78.699,0.596100278551532,0.4598239465798428,0.5279621125656875
31,Naptho_2_3-c_furan-1_3H_-one_derivative,5,-8.76,0.5385,3.93,52,Naptho_2_3-c_furan-1_3H_-one_derivative_spores_entry_00001_conf_01,-77.4852,0.5891364902506963,0.44360062123921723,0.5163685557449568
24,Erythromycin_E,3,-9.14,0.6481,6.526,68,Erythromycin_E_spores_entry_00001_conf_01,-72.6986,0.6420612813370473,0.3796242090828167,0.510842745209932
41,Maritimetin,1,-8.18,0.8462,5.26,39,Maritimetin_spores_entry_00001_conf_01,-81.2954,0.5083565459610027,0.49452673280030796,0.5014416393806553
46,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-,6,-7.81,0.6429,5.036,28,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-_spores_entry_00001_conf_01,-84.8548,0.4568245125348188,0.5421007188090597,0.4994626156719393
19,Myricitrin,4,-9.27,0.5141,5.214,82,Myricitrin_spores_entry_00001_conf_01,-69.3454,0.6601671309192199,0.3348062369851185,0.4974866839521692
23,Hyperoside,4,-9.15,0.5556,5.384,76,Hyperoside_spores_entry_00001_conf_01,-70.4286,0.6434540389972144,0.3492839977438645,0.4963690183705395
34,Glyceryl_lactopalmitate,2,-8.54,0.4356,6.41,58,Glyceryl_lactopalmitate_spores_entry_00001_conf_01,-75.3884,0.5584958217270193,0.41557535465969514,0.48703558819335724
53,Jasmolone_glucoside,5,-7.42,0.4424,4.351,26,Jasmolone_glucoside_spores_entry_00001_conf_01,-85.7594,0.40250696378830075,0.5541913598562916,0.4783491618222962
51,Retapamulin,7,-7.67,0.4295,6.269,37,Retapamulin_spores_entry_00001_conf_01,-83.0355,0.437325905292479,0.5177844428227356,0.4775551740576073
43,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-,2,-8.03,0.6786,5.725,45,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-_spores_entry_00001_conf_01,-79.2239,0.4874651810584957,0.46683961923703055,0.4771524001477631
44,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate,2,-7.84,0.5278,6.089,44,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate_spores_entry_00001_conf_01,-80.4374,0.46100278551532026,0.483058934858096,0.47203086018670815
30,Quercetin_hexoside,7,-8.79,0.4169,4.567,81,Quercetin_hexoside_spores_entry_00001_conf_01,-69.823,0.5933147632311976,0.3411897105249791,0.46725223687808837
38,Cytochalasin_N,2,-8.29,0.615,5.873,65,Cytochalasin_N_spores_entry_00001_conf_01,-73.7006,0.523676880222841,0.3930166724139313,0.45834677631838616
39,Native_Ligand,2,-8.24,0.7485,6.768,67,Native_Ligand_spores_entry_00001_conf_01,-72.7689,0.5167130919220055,0.3805638200330936,0.4486384559775496
45,Rehmaionoside_C,2,-7.83,0.474,4.676,53,Rehmaionoside_C_spores_entry_00001_conf_01,-76.6238,0.45961002785515315,0.4320873798086562,0.44584870383190467
55,Flavone,7,-7.32,0.5488,5.057,48,Flavone_spores_entry_00001_conf_01,-78.6838,0.3885793871866295,0.45962078745545876,0.4241000873210441
54,Miserotoxin,5,-7.32,0.4885,4.203,50,Miserotoxin_spores_entry_00001_conf_01,-77.8711,0.3885793871866295,0.44875845716683904,0.41866892217673424
62,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal,1,-6.66,0.4048,5.559,29,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal_spores_entry_00001_conf_01,-84.5336,0.29665738161559885,0.5378076457332575,0.41723251367442815
52,Gallic_acid,6,-7.44,0.5359,3.679,59,Gallic_acid_spores_entry_00001_conf_01,-74.9377,0.4052924791086351,0.40955141930706707,0.4074219492078511
40,Euphornin,7,-8.24,0.3679,6.026,85,Euphornin_spores_entry_00001_conf_01,-66.2236,0.5167130919220055,0.2930810952415322,0.40489709358176884
49,4-Androsten-6α-ol-3_17-dione,1,-7.78,0.754,5.806,73,4-Androsten-6α-ol-3_17-dione_spores_entry_00001_conf_01,-70.8842,0.4526462395543175,0.3553734251826428,0.40400983236848015
56,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol,7,-7.24,0.4191,5.168,54,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol_spores_entry_00001_conf_01,-76.3412,0.37743732590529244,0.4283102239829346,0.4028737749441135
42,Androsterone,5,-8.11,0.5457,5.204,92,Androsterone_spores_entry_00001_conf_01,-63.4147,0.4986072423398327,0.2555380909992489,0.3770726666695408
57,Ferulic_acid,3,-6.85,0.659,4.021,55,Ferulic_acid_spores_entry_00001_conf_01,-76.0701,0.32311977715877427,0.4246867740736879,0.37390327561623105
59,Glycophymoline,8,-6.81,0.5319,4.767,60,Glycophymoline_spores_entry_00001_conf_01,-74.8829,0.3175487465181057,0.4088189772007346,0.3631838618594202
77,Nonadecane-2_4-dione,9,-5.84,0.3415,5.442,38,Nonadecane-2_4-dione_spores_entry_00001_conf_01,-82.9926,0.1824512534818941,0.517211052925625,0.3498311532037595
73,Oleic_acid,2,-6.0,0.5569,5.011,41,Oleic_acid_spores_entry_00001_conf_01,-81.1196,0.2047353760445682,0.49217703713802263,0.3484562065912954
87,Heneicosanoic_acid__methyl_ester,4,-5.42,0.3744,5.091,23,Heneicosanoic_acid__methyl_ester_spores_entry_00001_conf_01,-87.0967,0.1239554317548746,0.5720653530825387,0.3480103924187066
61,Mecarbinzid,4,-6.68,0.6336,6.01,64,Mecarbinzid_spores_entry_00001_conf_01,-73.8081,0.29944289693593307,0.3944534885896746,0.34694819276280386
58,Theobromine,1,-6.81,0.8795,4.712,69,Theobromine_spores_entry_00001_conf_01,-72.3702,0.3175487465181057,0.37523490273756915,0.34639182462783746
81,9-Hexadecenoic_acid,6,-5.64,0.4814,4.594,31,9-Hexadecenoic_acid_spores_entry_00001_conf_01,-83.5742,0.15459610027855145,0.5249845625796932,0.3397903314291223
82,Oleic_acid__methyl_ester,6,-5.58,0.3612,4.921,35,Oleic_acid__methyl_ester_spores_entry_00001_conf_01,-83.0716,0.1462395543175487,0.5182669457431481,0.33225325003034845
89,Methoxyacetic_acid__heptadecyl_ester,1,-5.23,0.6061,5.527,24,Methoxyacetic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-86.4692,0.09749303621169918,0.5636783563357578,0.33058569627372847
65,Pirbuterol,3,-6.39,0.5417,4.021,63,Pirbuterol_spores_entry_00001_conf_01,-74.2602,0.25905292479108627,0.4004961359669171,0.3297745303790017
67,Theanine,8,-6.31,0.5076,4.028,61,Theanine_spores_entry_00001_conf_01,-74.7985,0.2479108635097492,0.40769090943112773,0.3278008864704385
66,Caffeine,4,-6.39,0.5807,4.148,66,Caffeine_spores_entry_00001_conf_01,-73.2396,0.25905292479108627,0.3868550700230692,0.32295399740707775
78,Phytol,4,-5.82,0.3499,4.839,46,Phytol_spores_entry_00001_conf_01,-78.9657,0.17966573816155987,0.46338858726887305,0.3215271627152165
63,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester,3,-6.62,0.6195,5.035,78,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores_entry_00001_conf_01,-70.2534,0.2910863509749303,0.3469423215206995,0.3190143362478149
84,Cyclobutanecarboxylic_acid__heptadecyl_ester,4,-5.55,0.2807,4.751,40,Cyclobutanecarboxylic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-81.1412,0.1420612813370473,0.4924657369463579,0.3172635091417026
68,Caffeic_acid,9,-6.28,0.3726,3.582,74,Caffeic_acid_spores_entry_00001_conf_01,-70.7982,0.2437325905292479,0.35422397224204794,0.2989782813856479
47,Piperazine__1_4-di_thiobenzoyl_-,1,-7.79,0.8969,6.278,95,Piperazine__1_4-di_thiobenzoyl_-_spores_entry_00001_conf_01,-55.0109,0.4540389972144846,0.14321515353216194,0.2986270753733233
60,2H-1-Benzopyran-2-one,1,-6.78,0.7805,3.696,88,2H-1-Benzopyran-2-one_spores_entry_00001_conf_01,-64.8167,0.31337047353760444,0.27427684707731537,0.2938236603074599
90,6-Heneicosen-11-one__Z_,3,-5.22,0.373,4.786,43,6-Heneicosen-11-one__Z__spores_entry_00001_conf_01,-80.5164,0.09610027855153196,0.4841148276756191,0.2901075531135755
72,Methyl_N-methylanthranilate,7,-6.01,0.5698,3.515,70,Methyl_N-methylanthranilate_spores_entry_00001_conf_01,-72.0559,0.2061281337047353,0.3710340532116516,0.28858109345819344
93,Oxirane___hexadecyloxy_methyl-,7,-5.13,0.3696,4.551,42,Oxirane___hexadecyloxy_methyl-_spores_entry_00001_conf_01,-80.5426,0.0835654596100278,0.48446500985054425,0.284015234730286
76,Undecanoic_acid__10-methyl-__methyl_ester,9,-5.86,0.4202,4.313,71,Undecanoic_acid__10-methyl-__methyl_ester_spores_entry_00001_conf_01,-71.9008,0.18523676880222842,0.3689610281990211,0.27709889850062475
75,Theophylline,4,-5.92,0.6828,4.197,72,Theophylline_spores_entry_00001_conf_01,-71.0871,0.19359331476323113,0.35808533217853417,0.27583932347088264
74,Vanillic_acid,3,-5.96,0.7287,3.797,77,Vanillic_acid_spores_entry_00001_conf_01,-70.3294,0.19916434540389966,0.3479581171426204,0.27356123127326004
71,2_3-Butanediol_glucoside,6,-6.09,0.5064,3.179,84,2_3-Butanediol_glucoside_spores_entry_00001_conf_01,-67.1603,0.21727019498607236,0.30560077628170695,0.26143548563388963
70,1-Oxacyclopentadecan-2-one__15-isopropenyl,8,-6.19,0.3769,4.629,87,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores_entry_00001_conf_01,-65.7275,0.23119777158774374,0.28645035566212507,0.2588240636249344
96,Benzene_acetic_acid__pentadecyl_ester,8,-4.94,0.389,4.672,49,Benzene_acetic_acid__pentadecyl_ester_spores_entry_00001_conf_01,-78.4555,0.05710306406685238,0.45656939087013587,0.2568362274684941
95,Z_Z-8_10-Hexadecadien-1-ol,5,-4.99,0.4351,4.352,51,Z_Z-8_10-Hexadecadien-1-ol_spores_entry_00001_conf_01,-77.7648,0.06406685236768801,0.4473376798693365,0.25570226611851227
92,Methyl-7-oxopentadecanoate,6,-5.17,0.4421,4.705,57,Methyl-7-oxopentadecanoate_spores_entry_00001_conf_01,-75.8153,0.08913649025069632,0.42128118559387945,0.2552088379222879
69,2_5-di-tert-Butylalanine,3,-6.19,0.5536,4.409,90,2_5-di-tert-Butylalanine_spores_entry_00001_conf_01,-64.1827,0.23119777158774374,0.2658029730733965,0.24850037233057012
83,Theacrine,9,-5.57,0.4562,3.906,79,Theacrine_spores_entry_00001_conf_01,-70.2031,0.14484679665738162,0.3462700252077704,0.24555841093257602
86,5-Hexenoic_acid___9-decen-2-yl__ester,6,-5.46,0.3974,4.451,75,5-Hexenoic_acid___9-decen-2-yl__ester_spores_entry_00001_conf_01,-70.7507,0.12952646239554313,0.3535890999783474,0.24155778118694526
64,Thujopsene-_12_,2,-6.49,0.584,4.575,94,Thujopsene-_12__spores_entry_00001_conf_01,-58.7849,0.27298050139275765,0.19365742559965354,0.2333189634962056
80,Fabianine,4,-5.78,0.6385,4.397,86,Fabianine_spores_entry_00001_conf_01,-66.0188,0.17409470752089135,0.2903437933550927,0.23221925043799202
85,2-Cyclohexylpiperidine,6,-5.51,0.6069,4.047,83,2-Cyclohexylpiperidine_spores_entry_00001_conf_01,-67.8116,0.13649025069637877,0.31430587744693134,0.22539806407165505
91,2-Octen-1-ol__3_7-dimethyl-,5,-5.19,0.5164,4.514,80,2-Octen-1-ol__3_7-dimethyl-_spores_entry_00001_conf_01,-70.1301,0.09192200557103065,0.34529432678145155,0.2186081661762411
79,Resorcinol,9,-5.79,0.6972,3.152,93,Resorcinol_spores_entry_00001_conf_01,-62.3896,0.17548746518105846,0.24183687926199776,0.2086621722215281
88,1-Decen-3-yne,6,-5.37,0.6575,4.633,89,1-Decen-3-yne_spores_entry_00001_conf_01,-64.7359,0.11699164345403897,0.27319689594243113,0.19509426969823504
94,1_2-Epoxynonane,9,-5.11,0.6201,3.62,91,1_2-Epoxynonane_spores_entry_00001_conf_01,-63.6525,0.0807799442896936,0.2587164620373118,0.1697482031635027
98,Piperidine__1-hydroxy-,2,-4.58,0.6743,3.261,96,Piperidine__1-hydroxy-_spores_entry_00001_conf_01,-54.381,0.006963788300835629,0.1347960790288994,0.07087993366486751
99,Propanol__2_2-dimethyl-__oxime,8,-4.53,0.645,3.387,97,Propanol__2_2-dimethyl-__oxime_spores_entry_00001_conf_01,-51.3775,0.0,0.09465210336522394,0.04732605168261197
97,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-,7,-4.74,0.6736,3.589,98,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-_spores_entry_00001_conf_01,-44.2958,0.02924791086350974,0.0,0.01462395543175487
