No,Compound,Affinity (kcal/mol),CNN Pose Score,CNN Affinity
1,1-Decen-3-yne,-3.46,0.7915,3.924
2,1-Oxacyclopentadecan-2-one__15-isopropenyl,-5.16,0.494,4.819
3,1_2-Epoxynonane,-3.25,0.8371,3.771
4,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester,-6.32,0.8745,5.473
5,1_3_4-Thiadiazole-2-amine__5-methoxy-N-methyl-,-0.12,0.9128,2.847
6,2-Cyclohexylpiperidine,-4.66,0.7166,3.614
7,2-Octen-1-ol__3_7-dimethyl-,-4.15,0.6204,3.641
8,2H-1-Benzopyran-2-one,-6.78,0.7805,3.696
9,2_3-Butanediol_glucoside,-4.75,0.5905,3.061
10,2_5-di-tert-Butylalanine,-4.38,0.5631,4.058
11,4-Androsten-6α-ol-3_17-dione,-7.78,0.754,5.806
12,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-,-7.45,0.7264,5.659
13,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-,-7.63,0.9169,5.705
14,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal,-6.66,0.4048,5.559
15,5-Hexenoic_acid___9-decen-2-yl__ester,-5.15,0.616,5.256
16,6-Heneicosen-11-one__Z_,-4.33,0.4395,5.292
17,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol,-6.92,0.708,4.73
18,9-Hexadecenoic_acid,-4.78,0.5517,5.086
19,Albanol_A,-9.23,0.6292,6.535
20,Allosamidine,-7.41,0.5724,4.978
21,Americanin_B,-7.32,0.6367,5.462
22,Androsterone,-6.53,0.7355,5.14
23,Asparanin_B,-9.19,0.7057,6.453
24,Atractyloside,-7.82,0.7815,6.483
25,Aurasperone_D,-7.92,0.5248,6.296
26,Auriculine,-7.73,0.4232,5.509
27,Belladonnine,-8.58,0.6076,6.418
28,Benzene_acetic_acid__pentadecyl_ester,-4.37,0.6944,4.368
29,Caffeic_acid,-4.67,0.6808,3.614
30,Caffeine,-4.59,0.7845,3.858
31,Campesteryl_p-coumarate,-7.58,0.513,6.174
32,Catechin,-7.01,0.7313,5.049
33,Catechin_gallate,-8.38,0.7754,5.801
34,Chrysin,-6.26,0.6232,4.328
35,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate,-6.7,0.5397,5.595
36,Crosatoside_B,-8.05,0.6561,4.48
37,Cyclobutanecarboxylic_acid__heptadecyl_ester,-5.4,0.4311,5.595
38,Cytochalasin_N,-7.14,0.7594,5.911
39,Dulxanthone_B,-7.54,0.6728,6.161
40,Epicatechin_gallate,-7.9,0.6564,5.639
41,Epigallocatechin,-9.86,0.759,5.461
42,Erythromycin_E,-7.08,0.7383,5.908
43,Euphornin,-5.99,0.6821,6.209
44,Fabianine,-5.51,0.7111,4.655
45,Ferulic_acid,-6.78,0.7383,4.315
46,Flavidulol_C,-7.61,0.4371,6.059
47,Flavone,-6.28,0.6099,3.782
48,Gallic_acid,-6.11,0.6774,4.061
49,Gambiriin_A3,-8.67,0.5605,6.195
50,Glyceryl_lactopalmitate,-7.83,0.4676,5.815
51,Glycophymoline,-5.36,0.8077,4.649
52,Heneicosanoic_acid__methyl_ester,-4.42,0.4629,5.169
53,Hordatine_A,-7.16,0.7406,6.294
54,Hyperoside,-7.33,0.7419,5.603
55,Isoorientin_7-glucoside,-9.09,0.5727,5.414
56,Jasmolone_glucoside,-6.25,0.8048,4.229
57,Kaempferol,-6.75,0.7315,4.977
58,Leukotriene_F4,-6.08,0.4254,5.694
59,Maritimetin,-8.18,0.8462,5.26
60,Mecarbinzid,-6.08,0.739,5.224
61,Methoxyacetic_acid__heptadecyl_ester,-5.23,0.6061,5.527
62,Methyl-7-oxopentadecanoate,-4.89,0.6651,5.41
63,Methyl_N-methylanthranilate,-5.59,0.781,3.72
64,Miserotoxin,-6.75,0.874,4.739
65,Myricitrin,-8.2,0.7523,5.49
66,Naptho_2_3-c_furan-1_3H_-one_derivative,-6.26,0.6743,3.653
67,Native_Ligand,-7.69,0.8893,6.504
68,Nonadecane-2_4-dione,-5.67,0.4812,5.452
69,Oleic_acid,-4.92,0.597,4.939
70,Oleic_acid__methyl_ester,-4.64,0.5645,5.197
71,Orcein,-10.51,0.6733,6.61
72,Oxirane___hexadecyloxy_methyl-,-4.88,0.5479,4.956
73,Pedaliin,-8.36,0.6917,5.207
74,Phaeophorbide_a,-8.45,0.6878,6.94
75,Phaeophorbide_b,-7.07,0.7166,6.906
76,Phytol,-5.13,0.3974,5.383
77,Piperazine__1_4-di_thiobenzoyl_-,-7.79,0.8969,6.278
78,Piperidine__1-hydroxy-,-4.54,0.7443,4.22
79,Pirbuterol,-6.13,0.5554,4.239
80,Propanol__2_2-dimethyl-__oxime,-3.08,0.7793,3.107
81,Quercetin,-7.2,0.7733,4.892
82,Quercetin_hexoside,-7.56,0.5527,5.055
83,Rehmaionoside_C,-5.99,0.5014,4.729
84,Resorcinol,-4.48,0.8258,3.306
85,Retapamulin,-7.05,0.5566,6.262
86,Saphenamycin,-9.12,0.8315,6.135
87,Sitagliptin,-8.71,0.6768,6.824
88,Theacrine,-4.78,0.7985,4.242
89,Theanine,-4.06,0.8582,3.33
90,Theobromine,-6.81,0.8795,4.712
91,Theophylline,-4.67,0.8679,3.919
92,Thujopsene-_12_,-5.09,0.6195,4.601
93,Undecanoic_acid__10-methyl-__methyl_ester,-4.23,0.672,4.256
94,Vanillic_acid,-4.78,0.8598,3.648
95,Xanthoaphin,-9.95,0.6786,6.006
96,Yohimbine,-7.12,0.7498,5.641
97,Z_Z-8_10-Hexadecadien-1-ol,-4.56,0.5579,4.594
98,___-Gallocatechin,-6.95,0.7089,4.486
99,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose,-7.71,0.773,3.827
